Task,Model,Representation,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,Logistic Regression,"TF-IDF word n-grams (1-2) (title + abstract, capped discipline)",0.634,0.63,0.632,0.629,0.631,0.634,0.63
Field,Logistic Regression,"TF-IDF word n-grams (1-2) (title + abstract, uncapped field)",0.549,0.538,0.549,0.541,0.537,0.549,0.541
