Task,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,0.634,0.631,0.633,0.63,0.631,0.634,0.631
Field,0.549,0.537,0.549,0.541,0.537,0.549,0.54
