Task,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1
Discipline,0.6594708800293956,0.6570863289607396,0.6586400284006622,0.6557556799842593,0.6563528853025123
Field,0.5819066270768842,0.5695928151236487,0.5823476815668746,0.5721599257023602,0.5716887111234328
