Task,Model,Representation,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,Logistic Regression,TF-IDF word n-grams (1-2) (capped discipline),0.624,0.622,0.623,0.621,0.622,0.624,0.621
Field,Logistic Regression,TF-IDF word n-grams (1-2) (uncapped field),0.541,0.529,0.542,0.533,0.528,0.541,0.532
